27
ALA 0 0
ARG 5 729
N CA CB CG
CA CB CG CD
CB CG CD NE
CG CD NE CZ
CD NE CZ NH1
-67.2 -178.5 63.1 -101.8 180.0
-67.2 -168.5 63.1 -101.8 180.0
-57.2 171.5 63.1 -101.8 180.0
-57.2 -178.5 63.1 -101.8 180.0
-57.2 -168.5 63.1 -101.8 180.0
-76.9 169.7 178.7 86.7 180.0
-76.9 179.7 178.7 86.7 180.0
-76.9 -170.3 178.7 86.7 180.0
-66.9 169.7 178.7 86.7 180.0
-66.9 179.7 178.7 86.7 180.0
-66.9 -170.3 178.7 86.7 180.0
-56.9 169.7 178.7 86.7 180.0
-56.9 179.7 178.7 86.7 180.0
-56.9 -170.3 178.7 86.7 180.0
-77.7 169.1 -179.0 176.3 180.0
-77.7 179.1 -179.0 176.3 180.0
-77.7 -170.9 -179.0 176.3 180.0
-67.7 169.1 -179.0 176.3 180.0
-67.7 179.1 -179.0 176.3 180.0
-67.7 -170.9 -179.0 176.3 180.0
-57.7 169.1 -179.0 176.3 180.0
-57.7 179.1 -179.0 176.3 180.0
-57.7 -170.9 -179.0 176.3 180.0
-78.1 170.3 -176.3 -82.7 180.0
-78.1 -179.7 -176.3 -82.7 180.0
-78.1 -169.7 -176.3 -82.7 180.0
-68.1 170.3 -176.3 -82.7 180.0
-68.1 -179.7 -176.3 -82.7 180.0
-68.1 -169.7 -176.3 -82.7 180.0
-58.1 170.3 -176.3 -82.7 180.0
-58.1 -179.7 -176.3 -82.7 180.0
-58.1 -169.7 -176.3 -82.7 180.0
-78.9 174.4 -68.5 102.2 180.0
-78.9 -175.6 -68.5 102.2 180.0
